File,Bounds,Iterations,Agents,Best Params,Train RMSE,Test RMSE,Test R²
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",30,15,[7.32025705 0.02926349 0.22832774],0.05815914879892949,0.08459387525465345,0.8296967744222278
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",30,20,[4.12808436 0.0050296  0.43640512],0.04958079990290474,0.09585935596520204,0.7813174918338692
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",35,5,[1.54810630e+00 7.61849074e-05 6.38818735e-01],0.048139498306597556,0.09317692450774298,0.7933850341283504
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",35,10,[4.39836473e+00 8.59810246e-05 4.52923736e-01],0.04881911407593547,0.09564936543397869,0.7822745389118444
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",35,15,[1.14285714e+01 9.58819039e-05 2.28537908e-01],0.0560387748668283,0.08761025340471326,0.8173351831880875
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",35,20,[5.71428571e+01 2.37776132e-02 1.24820186e-02],0.06946420743429844,0.07535353096476592,0.8648698534251301
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",40,5,[55.45728371  0.08807113  0.42512207],0.05783896851377161,0.09947174087457296,0.7645251819222961
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",40,10,[2.74297875 0.01333107 0.45025787],0.05081339844120017,0.09525753423693598,0.7840547260886993
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",40,15,[18.62284674  0.02106719  0.17416158],0.05892162289025104,0.08428890933908399,0.8309224674540024
Location4_daytime_week1.csv,"([0.01, 0.0001, 0.0001], [100.0, 1.0, 10.0])",40,20,[0.80547075 0.0167818  0.97684517],0.04486558566256115,0.10244083491184001,0.7502581919965519
